order_datetime,origin_longitude,origin_latitude,m_order_eta,order_gk,order_status_key,is_driver_assigned_key,cancellations_time_in_seconds
18:08:07,-0.978916,51.456173,60,3000583041974,4,1,198
20:57:32,-0.950385,51.456843,,3000583116437,4,0,128
12:07:50,-0.96952,51.455544,477,3000582891479,4,1,46
13:50:20,-1.054671,51.460544,658,3000582941169,4,1,62
21:24:45,-0.967605,51.458236,,3000583140877,9,0,
21:21:23,-0.947011,51.45638,,3000583117054,9,0,
7:58:15,-0.955637,51.470372,,3000582791789,9,0,
7:53:46,-0.97823,51.454575,,3000582791562,9,0,
8:53:01,-1.052298,51.454308,,3000582817606,9,0,
6:33:52,-0.976216,51.433202,,3000582765616,4,0,78
15:40:15,-0.93467,51.447065,,3000582991062,4,0,167
20:59:35,-0.972735,51.452489,,3000583116472,4,0,45
6:25:31,-0.958791,51.459481,,3000582765488,4,0,79
16:55:28,-0.950683,51.451368,538,3000583016613,4,1,188
0:59:26,-0.937006,51.448696,179,3000582566041,4,1,316
0:04:16,-0.974519,51.454603,,3000582541301,9,0,
8:49:32,-1.011756,51.456498,,3000582817413,9,0,
8:18:52,-0.940321,51.421571,,3000582792866,4,0,183
8:24:56,-0.966304,51.448351,,3000582815594,4,0,120
8:49:02,-0.963172,51.454195,,3000582817399,9,0,
13:21:15,-0.978916,51.456173,60,3000582916858,4,1,475
12:57:52,-0.933755,51.446834,117,3000582916315,4,1,41
8:37:53,-0.972037,51.456781,898,3000582816590,4,1,101
7:17:19,-0.971389,51.44927,,3000582766394,4,0,93
14:08:23,-0.973763,51.458671,,3000632271478,4,0,117
17:48:41,-0.968298,51.466217,,3000632371642,4,0,70
8:59:15,-0.974281,51.475314,958,3000632147622,4,1,121
22:59:25,-0.956267,51.443196,237,3000632496952,4,1,156
22:41:17,-0.963063,51.449616,178,3000632496461,4,1,527
17:07:30,-0.962999,51.450598,,3000632347131,9,0,
18:59:28,-0.989163,51.484478,,3000632396931,9,0,
8:41:43,-0.957923,51.441124,,3000632146652,9,0,
8:45:25,-0.966842,51.472315,,3000632146884,9,0,
1:23:42,-0.944732,51.443863,478,3000631970394,4,1,65
19:14:07,-0.94275,51.45527,,3000632397297,4,0,148
15:34:57,-0.955174,51.435582,,3000632321076,4,0,7
7:35:36,-0.958791,51.459481,,3000632120847,4,0,104
20:30:04,-0.971564,51.458022,60,3000632445939,4,1,27
8:44:03,-0.974281,51.475314,,3000632146785,9,0,
22:57:37,-0.957854,51.449262,,3000632496894,4,0,15
18:07:48,-0.962753,51.450808,,3000632372329,4,0,121
17:45:10,-0.975043,51.456599,958,3000632371531,4,1,123
8:03:03,-0.982094,51.449709,418,3000632121951,4,1,171
22:58:16,-0.957854,51.449262,,3000632496928,4,0,54
3:10:22,-0.933906,51.446975,,3000631995545,4,0,91
3:41:55,-0.932414,51.447308,178,3000632020485,4,1,22
8:56:44,-0.974281,51.475314,,3000632147544,4,0,145
14:23:22,-1.061134,51.441809,,3000632295709,4,0,106
16:48:18,-0.953481,51.416397,,3000632346495,9,0,
21:02:29,-0.986542,51.420305,,3000632446467,4,0,331
0:51:19,-0.932414,51.447308,532,3000631456280,4,1,30
14:40:45,-0.982604,51.471714,237,3000632296105,4,1,418
17:08:34,-0.970932,51.457899,,3000632347155,4,0,107
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43
3:46:22,-0.932414,51.447308,,3000632020505,4,0,77
12:20:25,-0.984941,51.425929,477,3000632221938,4,1,46
18:04:34,-0.972893,51.456873,238,3000632372217,4,1,593
20:16:26,-0.969962,51.434487,,3000632421828,4,0,249
19:16:56,-0.942731,51.455331,,3000632397368,4,0,120
14:02:18,-1.049098,51.482327,,3000632271378,4,0,31
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44
14:07:16,-0.974003,51.458636,358,3000632271446,4,1,59
17:12:18,-0.963187,51.450644,,3000632347310,4,0,15
8:13:01,-0.989201,51.472551,,3000632122419,4,0,318
19:17:46,-1.010571,51.462461,,3000632397392,9,0,
8:56:51,-0.966842,51.472315,,3000632147549,9,0,
8:32:37,-0.938129,51.422154,475,3000632146010,4,1,13
8:33:57,-0.939241,51.44867,,3000632146097,4,0,79
21:49:08,-0.978128,51.454907,60,3000632471464,4,1,7
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59
21:43:28,-0.978128,51.454907,60,3000632471376,4,1,327
8:52:23,-0.974281,51.475314,,3000632147350,9,0,
23:58:55,-0.95707,51.442723,658,3000632521657,4,1,836
7:59:06,-0.990123,51.454477,,3000632121757,4,0,117
18:55:00,-0.961141,51.439149,,3000632396576,4,0,459
15:33:45,-0.955174,51.435582,658,3000632321024,4,1,60
17:15:07,-1.007197,51.469229,,3000632347366,4,0,38
19:56:11,-0.971275,51.468651,238,3000632421479,4,1,27
